,Count,Hour,Temp,Humidity,Wind,Visibility,DewTemp,SolarRad,Rainfall,Snowfall,Seasons,Holiday,FuncDay,Day,WeekDay,Month,Year
0,254.0,0.0,-5.2,37.0,2.2,2000.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
1,204.0,1.0,-5.5,38.0,0.8,2000.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
2,173.0,2.0,-6.0,39.0,1.0,2000.0,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
3,107.0,3.0,-6.2,40.0,0.9,2000.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
4,78.0,4.0,-6.0,36.0,2.3,2000.0,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
5,100.0,5.0,-6.4,37.0,1.5,2000.0,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
6,181.0,6.0,-6.6,35.0,1.3,2000.0,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
7,460.0,7.0,-7.4,38.0,0.9,2000.0,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
8,930.0,8.0,-7.6,37.0,1.1,2000.0,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
9,490.0,9.0,-6.5,27.0,0.5,1928.0,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
10,339.0,10.0,-3.5,24.0,1.2,1996.0,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
11,360.0,11.0,-0.5,21.0,1.3,1936.0,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
12,449.0,12.0,1.7,23.0,1.4,2000.0,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
13,451.0,13.0,2.4,25.0,1.6,2000.0,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
14,447.0,14.0,3.0,26.0,2.0,2000.0,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
15,463.0,15.0,2.1,36.0,3.2,2000.0,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
16,484.0,16.0,1.2,54.0,4.2,793.0,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
17,555.0,17.0,0.8,58.0,1.6,2000.0,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
18,862.0,18.0,0.6,66.0,1.4,2000.0,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
19,600.0,19.0,0.0,77.0,1.7,2000.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
20,426.0,20.0,-0.3,79.0,1.5,1913.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
