,Hour,Temp,Humidity,Wind,Visibility,DewTemp,SolarRad,Rainfall,Snowfall,Seasons,Holiday,FuncDay,Day,WeekDay,Month,Year,RentalCount
8415,15.0,13.2,61.0,3.9,719.0,5.8,1.03,0.0,0.0,Autumn,No Holiday,Yes,16,Friday,November,2018,995.0
5049,9.0,22.9,86.0,1.7,538.0,20.4,0.76,0.0,0.0,Summer,No Holiday,Yes,29,Friday,June,2018,1195.0
8395,19.0,11.2,46.0,1.4,869.0,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,15,Thursday,November,2018,1448.0
1535,23.0,-2.6,69.0,2.0,1434.0,-7.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Friday,February,2018,178.0
5518,22.0,27.2,73.0,1.5,1005.0,21.9,0.0,0.0,0.0,Summer,No Holiday,Yes,18,Wednesday,July,2018,1980.0
5064,0.0,23.0,84.0,1.9,375.0,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,30,Saturday,June,2018,1275.0
8089,1.0,8.5,61.0,0.2,1273.0,1.3,0.0,0.0,0.0,Autumn,No Holiday,No,3,Saturday,November,2018,0.0
3653,5.0,18.4,87.0,0.8,209.0,16.1,0.0,0.4,0.0,Spring,No Holiday,Yes,2,Wednesday,May,2018,76.0
4414,22.0,21.4,48.0,1.6,2000.0,9.9,0.0,0.0,0.0,Summer,No Holiday,Yes,2,Saturday,June,2018,1969.0
1222,22.0,1.5,48.0,2.4,422.0,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20,Saturday,January,2018,232.0
3933,21.0,14.1,86.0,0.9,535.0,11.7,0.0,0.0,0.0,Spring,No Holiday,Yes,13,Sunday,May,2018,1571.0
1315,19.0,-13.8,32.0,2.2,2000.0,-26.9,0.0,0.0,0.7,Winter,No Holiday,Yes,24,Wednesday,January,2018,211.0
7970,2.0,4.7,81.0,1.0,1918.0,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,29,Monday,October,2018,184.0
6679,7.0,19.8,79.0,0.9,2000.0,16.0,0.13,0.0,0.0,Autumn,No Holiday,Yes,5,Wednesday,September,2018,1487.0
1465,1.0,-1.6,81.0,1.1,1141.0,-4.4,0.0,0.0,3.5,Winter,No Holiday,Yes,31,Wednesday,January,2018,96.0
3813,21.0,14.5,49.0,1.9,2000.0,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,8,Tuesday,May,2018,1513.0
